stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
67113,Monreal Del Campo,40.782321,-1.360792,2
67200,Teruel,40.341029,-1.110284,1
67202,Puerto EscandÃ³n,40.273092,-0.985079,2
67203,Puebla De Valverde,40.213424,-0.944674,2
67205,SarriÃ³n,40.146339,-0.823631,2
67206,Mora De Rubielos,40.123142,-0.786145,2
67207,Rubielos De Mora,40.118006,-0.773463,2
67208,Barracas,40.01174,-0.696151,2
67211,Caudiel,39.9473696,-0.5720537,2
67212,JÃ©rica-Viver,39.9149777,-0.5693896,2
67213,Navajas,39.8744166,-0.5059546,2
67214,Segorbe-Arrabal,39.854557,-0.493863,2
67215,Segorbe-Ciudad,39.8471755,-0.4823544,2
67216,Algimia-Ciudad,39.7529934,-0.3657542,2
67217,Soneja,39.8126015,-0.4318206,2
67221,Estivella-Albalat Dels Tarongers,39.706408,-0.348324,2
67223,Gilet,39.6793985,-0.3206548,2
69001,GenovÃ©s,38.98773,-0.47988,2
69002,BenigÃ nim,38.938499,-0.453424,2
69003,La Pobla Del Duc,38.907606,-0.453386,2
69004,Montaberner,38.884135,-0.491619,2
69005,BufalÃ­,38.867405,-0.510478,2
69006,Albaida,38.845645,-0.518129,2
69007,Agullent,38.830569,-0.551183,2
69008,Ontinyent,38.809692,-0.602457,2
69009,Agres,38.796829,-0.521744,2
69010,Cocentaina,38.740618,-0.446789,2
69011,Alcoi,38.709349,-0.470247,2
69101,El RomanÃ­,39.3029789,-0.3942354,2
69102,Sollana,39.2793471,-0.3793139,2
69103,Sueca,39.2058471,-0.3082388,2
69104,Cullera,39.1778885,-0.2632437,1
69105,Tavernes De La Valldigna,39.0790438,-0.2262966,2
69107,Xeraco,39.0261489,-0.2150346,2
69110,Gandia,38.970514,-0.1797829,1
69111,Platja I Grau De Gandia,38.9902436,-0.1624339,2
70001,Vallecas,40.3819607,-3.6245835,2
70002,Asamblea De Madrid-EntrevÃ­as,40.3818618,-3.6680454,2
70003,El Pozo,40.3760377,-3.6561407,2
70100,VicÃ¡lvaro,40.4012524,-3.595897,2
70101,San Fernando De Henares,40.4427805,-3.5339866,2
70102,TorrejÃ³n De Ardoz,40.4547895,-3.47973,2
70103,AlcalÃ¡ De Henares,40.4890814,-3.3662457,2
70104,Meco,40.5346731,-3.2986806,2
70105,Azuqueca,40.561077,-3.265397,2
70107,AlcalÃ¡ De Henares-Universidad,40.5054303,-3.3353258,2
70108,Coslada,40.423237,-3.5611109,2
70109,Santa Eugenia,40.3869545,-3.6089855,2
70111,La Garena,40.4805448,-3.3930055,2
70112,Soto Del Henares,40.463964,-3.4414076,2
70200,Guadalajara,40.6441928,-3.1822602,2
70202,Yunquera De Henares,40.747013,-3.163226,2
70204,Humanes De Mohernando,40.831273,-3.13886,2
70207,Espinosa De Henares,40.909686,-3.073157,2
70208,Carrascosa De Henares,40.90598,-3.014352,2
70209,Jadraque,40.930229,-2.935935,2
70210,Matillas,40.953808,-2.84326,2
70300,Baides,41.004864,-2.785635,2
70302,SigÃ¼enza,41.071417,-2.646407,2
70400,Torralba,41.136617,-2.492952,2
70401,Medinaceli,41.165207,-2.421241,2
70403,Arcos De JalÃ³n,41.215854,-2.278998,2
70404,Santa MarÃ­a De Huerta,41.264421,-2.177525,2
70500,Ariza,41.3098,-2.059411,2
70501,Cetina,41.295978,-1.961811,2
70502,Alhama De AragÃ³n,41.294398,-1.904454,2
70504,Ateca,41.324659,-1.785268,2
70600,Calatayud,41.346692,-1.63868,1
70602,Embid De JalÃ³n,41.421676,-1.592127,2
70603,Paracuellos-SabiÃ±Ã¡n,41.42931,-1.567483,2
70604,SabiÃ±Ã¡n,41.443981,-1.571474,2
70605,MorÃ©s,41.478667,-1.566238,2
70606,Purroy,41.477236,-1.540446,2
70607,Morata De JalÃ³n,41.475467,-1.479721,2
70700,Ricla-La Almunia,41.501394,-1.40345,2
